Year,GEO,Age.group,Sex,Income.source,VALUE
2007,BC,55-64 yrs,Both sexes,Employment income,36300
2008,BC,55-64 yrs,Both sexes,Employment income,40200
2009,BC,55-64 yrs,Both sexes,Employment income,44800
2010,BC,55-64 yrs,Both sexes,Employment income,41500
2011,BC,55-64 yrs,Both sexes,Employment income,33400
2012,BC,55-64 yrs,Both sexes,Employment income,35300
2013,BC,55-64 yrs,Both sexes,Employment income,32500
2014,BC,55-64 yrs,Both sexes,Employment income,35500
2015,BC,55-64 yrs,Both sexes,Employment income,34800
2016,BC,55-64 yrs,Both sexes,Employment income,38700
2017,BC,55-64 yrs,Both sexes,Employment income,39000
2018,BC,55-64 yrs,Both sexes,Employment income,40700
1976,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",46500
1977,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",51000
1978,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",48500
1979,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",50400
1980,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",48500
1981,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",47400
1982,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",46700
1983,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",45900
1984,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",40600
1985,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",42300
1986,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",40700
1987,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",38500
1988,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",40200
1989,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",48000
1990,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",38300
1991,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",40300
1992,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",38400
1993,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",30400
1994,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",37300
1995,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",34800
1996,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",42100
1997,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",37800
1998,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",47100
1999,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",39800
2000,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",34000
2001,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",37500
2002,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",33400
2003,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",38900
2004,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",35500
2005,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",39900
2006,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",45200
2007,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",42000
2008,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",43600
2009,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",47800
2010,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",45300
2011,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",40100
2012,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",40400
2013,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",36800
2014,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",37000
2015,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",37200
2016,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",41500
2017,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",41200
2018,BC,55-64 yrs,Both sexes,"Wages, salaries and commissions",43700
1976,BC,55-64 yrs,Both sexes,Self-employment income,
1977,BC,55-64 yrs,Both sexes,Self-employment income,4500
1978,BC,55-64 yrs,Both sexes,Self-employment income,12000
1979,BC,55-64 yrs,Both sexes,Self-employment income,8700
1980,BC,55-64 yrs,Both sexes,Self-employment income,13700
1981,BC,55-64 yrs,Both sexes,Self-employment income,6700
1982,BC,55-64 yrs,Both sexes,Self-employment income,9800
1983,BC,55-64 yrs,Both sexes,Self-employment income,16100
1984,BC,55-64 yrs,Both sexes,Self-employment income,6600
1985,BC,55-64 yrs,Both sexes,Self-employment income,13100
1986,BC,55-64 yrs,Both sexes,Self-employment income,11600
1987,BC,55-64 yrs,Both sexes,Self-employment income,9700
1988,BC,55-64 yrs,Both sexes,Self-employment income,8400
1989,BC,55-64 yrs,Both sexes,Self-employment income,19000
1990,BC,55-64 yrs,Both sexes,Self-employment income,16500
1991,BC,55-64 yrs,Both sexes,Self-employment income,13000
1992,BC,55-64 yrs,Both sexes,Self-employment income,15900
1993,BC,55-64 yrs,Both sexes,Self-employment income,10900
1994,BC,55-64 yrs,Both sexes,Self-employment income,13800
1995,BC,55-64 yrs,Both sexes,Self-employment income,14200
1996,BC,55-64 yrs,Both sexes,Self-employment income,11200
1997,BC,55-64 yrs,Both sexes,Self-employment income,14300
1998,BC,55-64 yrs,Both sexes,Self-employment income,8000
1999,BC,55-64 yrs,Both sexes,Self-employment income,
2000,BC,55-64 yrs,Both sexes,Self-employment income,
2001,BC,55-64 yrs,Both sexes,Self-employment income,
2002,BC,55-64 yrs,Both sexes,Self-employment income,
2003,BC,55-64 yrs,Both sexes,Self-employment income,7800
2004,BC,55-64 yrs,Both sexes,Self-employment income,9700
2005,BC,55-64 yrs,Both sexes,Self-employment income,10900
2006,BC,55-64 yrs,Both sexes,Self-employment income,8100
2007,BC,55-64 yrs,Both sexes,Self-employment income,6600
2008,BC,55-64 yrs,Both sexes,Self-employment income,13200
2009,BC,55-64 yrs,Both sexes,Self-employment income,10900
2010,BC,55-64 yrs,Both sexes,Self-employment income,9000
2011,BC,55-64 yrs,Both sexes,Self-employment income,10000
2012,BC,55-64 yrs,Both sexes,Self-employment income,8200
2013,BC,55-64 yrs,Both sexes,Self-employment income,11600
2014,BC,55-64 yrs,Both sexes,Self-employment income,
2015,BC,55-64 yrs,Both sexes,Self-employment income,11200
2016,BC,55-64 yrs,Both sexes,Self-employment income,11500
2017,BC,55-64 yrs,Both sexes,Self-employment income,8300
2018,BC,55-64 yrs,Both sexes,Self-employment income,9500
1976,BC,55-64 yrs,Both sexes,Government transfers,7400
1977,BC,55-64 yrs,Both sexes,Government transfers,5800
1978,BC,55-64 yrs,Both sexes,Government transfers,5200
1979,BC,55-64 yrs,Both sexes,Government transfers,5300
1980,BC,55-64 yrs,Both sexes,Government transfers,3700
1981,BC,55-64 yrs,Both sexes,Government transfers,3100
1982,BC,55-64 yrs,Both sexes,Government transfers,5000
1983,BC,55-64 yrs,Both sexes,Government transfers,8100
1984,BC,55-64 yrs,Both sexes,Government transfers,8400
1985,BC,55-64 yrs,Both sexes,Government transfers,5900
1986,BC,55-64 yrs,Both sexes,Government transfers,7100
1987,BC,55-64 yrs,Both sexes,Government transfers,5100
1988,BC,55-64 yrs,Both sexes,Government transfers,6400
1989,BC,55-64 yrs,Both sexes,Government transfers,6500
1990,BC,55-64 yrs,Both sexes,Government transfers,4900
1991,BC,55-64 yrs,Both sexes,Government transfers,6600
1992,BC,55-64 yrs,Both sexes,Government transfers,6900
1993,BC,55-64 yrs,Both sexes,Government transfers,7000
1994,BC,55-64 yrs,Both sexes,Government transfers,7800
1995,BC,55-64 yrs,Both sexes,Government transfers,6300
1996,BC,55-64 yrs,Both sexes,Government transfers,6800
1997,BC,55-64 yrs,Both sexes,Government transfers,6400
1998,BC,55-64 yrs,Both sexes,Government transfers,6700
1999,BC,55-64 yrs,Both sexes,Government transfers,6100
2000,BC,55-64 yrs,Both sexes,Government transfers,6700
2001,BC,55-64 yrs,Both sexes,Government transfers,6000
2002,BC,55-64 yrs,Both sexes,Government transfers,6800
2003,BC,55-64 yrs,Both sexes,Government transfers,7700
2004,BC,55-64 yrs,Both sexes,Government transfers,6700
2005,BC,55-64 yrs,Both sexes,Government transfers,6500
2006,BC,55-64 yrs,Both sexes,Government transfers,6000
2007,BC,55-64 yrs,Both sexes,Government transfers,5600
2008,BC,55-64 yrs,Both sexes,Government transfers,100
2009,BC,55-64 yrs,Both sexes,Government transfers,4900
2010,BC,55-64 yrs,Both sexes,Government transfers,5000
2011,BC,55-64 yrs,Both sexes,Government transfers,6300
2012,BC,55-64 yrs,Both sexes,Government transfers,6100
2013,BC,55-64 yrs,Both sexes,Government transfers,6300
2014,BC,55-64 yrs,Both sexes,Government transfers,6800
2015,BC,55-64 yrs,Both sexes,Government transfers,5800
2016,BC,55-64 yrs,Both sexes,Government transfers,4900
2017,BC,55-64 yrs,Both sexes,Government transfers,5300
2018,BC,55-64 yrs,Both sexes,Government transfers,5800
1976,BC,55-64 yrs,Males,Total income,59500
1977,BC,55-64 yrs,Males,Total income,61100
1978,BC,55-64 yrs,Males,Total income,63400
1979,BC,55-64 yrs,Males,Total income,65400
1980,BC,55-64 yrs,Males,Total income,56100
1981,BC,55-64 yrs,Males,Total income,58400
1982,BC,55-64 yrs,Males,Total income,58300
1983,BC,55-64 yrs,Males,Total income,57600
1984,BC,55-64 yrs,Males,Total income,47900
1985,BC,55-64 yrs,Males,Total income,48200
1986,BC,55-64 yrs,Males,Total income,50800
1987,BC,55-64 yrs,Males,Total income,47500
1988,BC,55-64 yrs,Males,Total income,56200
1989,BC,55-64 yrs,Males,Total income,51700
1990,BC,55-64 yrs,Males,Total income,51400
1991,BC,55-64 yrs,Males,Total income,44600
1992,BC,55-64 yrs,Males,Total income,44300
1993,BC,55-64 yrs,Males,Total income,43200
1994,BC,55-64 yrs,Males,Total income,43500
1995,BC,55-64 yrs,Males,Total income,37100
1996,BC,55-64 yrs,Males,Total income,45000
1997,BC,55-64 yrs,Males,Total income,43400
1998,BC,55-64 yrs,Males,Total income,43700
1999,BC,55-64 yrs,Males,Total income,39700
2000,BC,55-64 yrs,Males,Total income,37600
2001,BC,55-64 yrs,Males,Total income,45700
2002,BC,55-64 yrs,Males,Total income,43500
2003,BC,55-64 yrs,Males,Total income,43700
2004,BC,55-64 yrs,Males,Total income,44800
2005,BC,55-64 yrs,Males,Total income,49800
2006,BC,55-64 yrs,Males,Total income,51400
2007,BC,55-64 yrs,Males,Total income,51000
2008,BC,55-64 yrs,Males,Total income,52400
2009,BC,55-64 yrs,Males,Total income,52700
2010,BC,55-64 yrs,Males,Total income,53500
2011,BC,55-64 yrs,Males,Total income,45100
2012,BC,55-64 yrs,Males,Total income,45400
2013,BC,55-64 yrs,Males,Total income,51400
2014,BC,55-64 yrs,Males,Total income,49000
2015,BC,55-64 yrs,Males,Total income,45600
2016,BC,55-64 yrs,Males,Total income,47800
2017,BC,55-64 yrs,Males,Total income,52100
2018,BC,55-64 yrs,Males,Total income,54700
1976,BC,55-64 yrs,Males,Market income,61800
1977,BC,55-64 yrs,Males,Market income,64300
1978,BC,55-64 yrs,Males,Market income,63400
1979,BC,55-64 yrs,Males,Market income,66900
1980,BC,55-64 yrs,Males,Market income,56400
1981,BC,55-64 yrs,Males,Market income,59500
1982,BC,55-64 yrs,Males,Market income,58900
1983,BC,55-64 yrs,Males,Market income,61100
1984,BC,55-64 yrs,Males,Market income,47500
1985,BC,55-64 yrs,Males,Market income,46300
1986,BC,55-64 yrs,Males,Market income,51800
1987,BC,55-64 yrs,Males,Market income,48200
1988,BC,55-64 yrs,Males,Market income,56900
1989,BC,55-64 yrs,Males,Market income,51700
1990,BC,55-64 yrs,Males,Market income,51300
1991,BC,55-64 yrs,Males,Market income,42200
1992,BC,55-64 yrs,Males,Market income,41600
1993,BC,55-64 yrs,Males,Market income,40100
1994,BC,55-64 yrs,Males,Market income,42500
1995,BC,55-64 yrs,Males,Market income,38100
1996,BC,55-64 yrs,Males,Market income,45000
1997,BC,55-64 yrs,Males,Market income,43500
1998,BC,55-64 yrs,Males,Market income,39400
1999,BC,55-64 yrs,Males,Market income,39800
2000,BC,55-64 yrs,Males,Market income,37100
2001,BC,55-64 yrs,Males,Market income,42300
2002,BC,55-64 yrs,Males,Market income,41000
2003,BC,55-64 yrs,Males,Market income,42100
2004,BC,55-64 yrs,Males,Market income,44800
2005,BC,55-64 yrs,Males,Market income,49100
2006,BC,55-64 yrs,Males,Market income,51200
2007,BC,55-64 yrs,Males,Market income,52000
2008,BC,55-64 yrs,Males,Market income,53600
2009,BC,55-64 yrs,Males,Market income,53100
2010,BC,55-64 yrs,Males,Market income,52200
2011,BC,55-64 yrs,Males,Market income,49900
2012,BC,55-64 yrs,Males,Market income,46300
2013,BC,55-64 yrs,Males,Market income,49700
2014,BC,55-64 yrs,Males,Market income,48200
2015,BC,55-64 yrs,Males,Market income,48600
2016,BC,55-64 yrs,Males,Market income,47800
2017,BC,55-64 yrs,Males,Market income,52000
2018,BC,55-64 yrs,Males,Market income,53800
1976,BC,55-64 yrs,Males,Employment income,59800
1977,BC,55-64 yrs,Males,Employment income,62600
1978,BC,55-64 yrs,Males,Employment income,63400
1979,BC,55-64 yrs,Males,Employment income,64400
1980,BC,55-64 yrs,Males,Employment income,53800
1981,BC,55-64 yrs,Males,Employment income,59900
1982,BC,55-64 yrs,Males,Employment income,58300
1983,BC,55-64 yrs,Males,Employment income,63000
1984,BC,55-64 yrs,Males,Employment income,52600
1985,BC,55-64 yrs,Males,Employment income,52900
1986,BC,55-64 yrs,Males,Employment income,52900
1987,BC,55-64 yrs,Males,Employment income,48300
1988,BC,55-64 yrs,Males,Employment income,56200
1989,BC,55-64 yrs,Males,Employment income,53500
1990,BC,55-64 yrs,Males,Employment income,50200
1991,BC,55-64 yrs,Males,Employment income,45100
1992,BC,55-64 yrs,Males,Employment income,43900
1993,BC,55-64 yrs,Males,Employment income,37900
1994,BC,55-64 yrs,Males,Employment income,42800
1995,BC,55-64 yrs,Males,Employment income,37800
1996,BC,55-64 yrs,Males,Employment income,49700
1997,BC,55-64 yrs,Males,Employment income,45700
1998,BC,55-64 yrs,Males,Employment income,43800
1999,BC,55-64 yrs,Males,Employment income,39800
2000,BC,55-64 yrs,Males,Employment income,34900
2001,BC,55-64 yrs,Males,Employment income,32700
2002,BC,55-64 yrs,Males,Employment income,36700
2003,BC,55-64 yrs,Males,Employment income,38900
2004,BC,55-64 yrs,Males,Employment income,40600
2005,BC,55-64 yrs,Males,Employment income,48500
2006,BC,55-64 yrs,Males,Employment income,50100
2007,BC,55-64 yrs,Males,Employment income,47500
2008,BC,55-64 yrs,Males,Employment income,56100
2009,BC,55-64 yrs,Males,Employment income,53100
2010,BC,55-64 yrs,Males,Employment income,52200
2011,BC,55-64 yrs,Males,Employment income,47100
2012,BC,55-64 yrs,Males,Employment income,45900
2013,BC,55-64 yrs,Males,Employment income,41300
2014,BC,55-64 yrs,Males,Employment income,47200
2015,BC,55-64 yrs,Males,Employment income,43200
2016,BC,55-64 yrs,Males,Employment income,45900
2017,BC,55-64 yrs,Males,Employment income,49100
2018,BC,55-64 yrs,Males,Employment income,52500
1976,BC,55-64 yrs,Males,"Wages, salaries and commissions",59800
1977,BC,55-64 yrs,Males,"Wages, salaries and commissions",63400
1978,BC,55-64 yrs,Males,"Wages, salaries and commissions",63600
1979,BC,55-64 yrs,Males,"Wages, salaries and commissions",65400
1980,BC,55-64 yrs,Males,"Wages, salaries and commissions",56100
1981,BC,55-64 yrs,Males,"Wages, salaries and commissions",60700
1982,BC,55-64 yrs,Males,"Wages, salaries and commissions",60300
1983,BC,55-64 yrs,Males,"Wages, salaries and commissions",63000
1984,BC,55-64 yrs,Males,"Wages, salaries and commissions",54600
1985,BC,55-64 yrs,Males,"Wages, salaries and commissions",53600
1986,BC,55-64 yrs,Males,"Wages, salaries and commissions",55500
1987,BC,55-64 yrs,Males,"Wages, salaries and commissions",51800
1988,BC,55-64 yrs,Males,"Wages, salaries and commissions",58000
1989,BC,55-64 yrs,Males,"Wages, salaries and commissions",56500
1990,BC,55-64 yrs,Males,"Wages, salaries and commissions",51100
1991,BC,55-64 yrs,Males,"Wages, salaries and commissions",56400
1992,BC,55-64 yrs,Males,"Wages, salaries and commissions",50800
1993,BC,55-64 yrs,Males,"Wages, salaries and commissions",49200
1994,BC,55-64 yrs,Males,"Wages, salaries and commissions",49200
1995,BC,55-64 yrs,Males,"Wages, salaries and commissions",46800
1996,BC,55-64 yrs,Males,"Wages, salaries and commissions",57600
1997,BC,55-64 yrs,Males,"Wages, salaries and commissions",53100
1998,BC,55-64 yrs,Males,"Wages, salaries and commissions",62400
1999,BC,55-64 yrs,Males,"Wages, salaries and commissions",58700
2000,BC,55-64 yrs,Males,"Wages, salaries and commissions",48600
2001,BC,55-64 yrs,Males,"Wages, salaries and commissions",47700
2002,BC,55-64 yrs,Males,"Wages, salaries and commissions",47700
2003,BC,55-64 yrs,Males,"Wages, salaries and commissions",45500
2004,BC,55-64 yrs,Males,"Wages, salaries and commissions",47300
2005,BC,55-64 yrs,Males,"Wages, salaries and commissions",51100
2006,BC,55-64 yrs,Males,"Wages, salaries and commissions",52000
2007,BC,55-64 yrs,Males,"Wages, salaries and commissions",52500
2008,BC,55-64 yrs,Males,"Wages, salaries and commissions",58300
2009,BC,55-64 yrs,Males,"Wages, salaries and commissions",54500
2010,BC,55-64 yrs,Males,"Wages, salaries and commissions",61800
2011,BC,55-64 yrs,Males,"Wages, salaries and commissions",55400
2012,BC,55-64 yrs,Males,"Wages, salaries and commissions",50800
2013,BC,55-64 yrs,Males,"Wages, salaries and commissions",44100
2014,BC,55-64 yrs,Males,"Wages, salaries and commissions",49500
2015,BC,55-64 yrs,Males,"Wages, salaries and commissions",48200
2016,BC,55-64 yrs,Males,"Wages, salaries and commissions",52400
2017,BC,55-64 yrs,Males,"Wages, salaries and commissions",51200
2018,BC,55-64 yrs,Males,"Wages, salaries and commissions",57900
1976,BC,55-64 yrs,Males,Self-employment income,
1977,BC,55-64 yrs,Males,Self-employment income,14000
1978,BC,55-64 yrs,Males,Self-employment income,
1979,BC,55-64 yrs,Males,Self-employment income,20800
1980,BC,55-64 yrs,Males,Self-employment income,13700
1981,BC,55-64 yrs,Males,Self-employment income,12100
